,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,Values_all,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_min,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max,all_max
,Natural_y,XSy,Sy,My,Ly,Toe_y,Heel_y,Ascending_y,Descending_y,Natural_a,XSa,Sa,Ma,La,Toe_a,Heel_a,Ascending_a,Descending_a,Natural_y,XSy,Sy,My,Ly,Toe_y,Heel_y,Ascending_y,Descending_y,Natural_a,XSa,Sa,Ma,La,Toe_a,Heel_a,Ascending_a,Descending_a,Natural_y,XSy,Sy,My,Ly,Toe_y,Heel_y,Ascending_y,Descending_y,Natural_a,XSa,Sa,Ma,La,Toe_a,Heel_a,Ascending_a,Descending_a
26,18.4261,21.2509,19.5847,18.9125,16.2902,32.1996,-4.3973,19.5508,27.6534,36.7593,32.2097,35.3484,40.7280,33.4538,56.3588,-8.2665,34.3242,53.4871,7.1052,7.6401,7.1798,7.2245,6.6178,15.3976,-4.5815,5.0873,10.1891,20.1718,16.1989,18.5453,23.2396,16.4295,35.4359,-10.0973,16.8454,28.5703,35.0401,41.6297,38.0610,36.1149,30.2396,54.6828,-2.0221,42.5648,53.6287,58.2090,53.3661,57.3382,63.0698,56.0593,82.0326,-4.1947,57.5364,85.9468
27,19.9350,22.9301,21.1528,20.3697,17.8201,31.5634,-4.2944,19.6807,27.8641,39.3863,34.6481,38.1133,43.3070,35.8624,54.9105,-8.2344,34.5007,53.5952,7.9767,8.6148,8.0767,8.0478,7.5526,15.0051,-4.5247,5.2322,10.5446,22.1419,17.7530,20.5736,25.2516,18.4795,34.3353,-10.0833,17.1038,28.9251,37.2730,44.1042,40.4011,38.3117,32.3914,53.7962,-1.8639,42.6036,53.4271,61.5234,56.8818,60.8990,66.1991,58.7084,80.2284,-4.1379,57.5575,85.6454
28,21.5056,24.6475,22.7709,21.8803,19.4580,31.0624,-4.2021,19.8230,28.1373,42.0885,37.1548,40.9705,45.9303,38.4662,53.7501,-8.2255,34.6809,53.8581,8.9106,9.6208,9.0276,8.9230,8.5584,14.6948,-4.4817,5.4066,10.9367,24.2156,19.3745,22.7125,27.3165,20.7573,33.4659,-10.0939,17.3189,29.3521,39.5386,46.6147,42.7596,40.5414,34.6840,53.1009,-1.7047,42.6117,53.3165,64.8573,60.4578,64.5099,69.3529,61.4735,78.7630,-4.0992,57.6571,85.6096
29,23.1444,26.4008,24.4411,23.4563,21.2110,30.7359,-4.1155,19.9901,28.4612,44.8832,39.7342,43.9254,48.6273,41.3002,52.8956,-8.2294,34.8932,54.2764,9.9055,10.6500,10.0324,9.8573,9.6407,14.5227,-4.4483,5.6125,11.3595,26.4053,21.0791,24.9646,29.4537,23.2822,32.8452,-10.1175,17.5076,29.8488,41.8579,49.1731,45.1433,42.8209,37.1249,52.5816,-1.5402,42.6186,53.2780,68.2333,64.0797,68.1803,72.5723,64.4102,77.6528,-4.0708,57.8777,85.8445
30,24.8549,28.1911,26.1595,25.0965,23.0760,30.5664,-4.0367,20.1961,28.8299,47.7687,42.3830,46.9741,51.4038,44.3255,52.3654,-8.2423,35.1650,54.8545,10.9676,11.6981,11.0906,10.8424,10.7942,14.4523,-4.4237,5.8540,11.8196,28.6959,22.8723,27.3176,31.6385,25.9315,32.4924,-10.1477,17.6871,30.4268,44.2260,51.7918,47.5418,45.1651,39.7174,52.2702,-1.3775,42.6542,53.2808,71.6711,67.7309,71.9201,75.9112,67.6184,76.9123,-4.0543,58.2593,86.3427
31,26.6409,30.0187,27.9372,26.8085,25.0508,30.5857,-3.9586,20.4553,29.2329,50.7579,45.1031,50.1175,54.2850,47.6047,52.1446,-8.2577,35.5239,55.6054,12.0910,12.7640,12.2082,11.8877,12.0098,14.5112,-4.4039,6.1349,12.3189,31.1020,24.7690,29.7792,33.8814,28.7920,32.3934,-10.1794,17.8785,31.1194,46.6674,54.4737,49.9733,47.5749,42.4751,52.1938,-1.2063,42.7495,53.2918,75.1798,71.3919,75.7196,79.4149,71.1139,76.5271,-4.0416,58.8366,87.0830
32,28.5012,31.8779,29.7673,28.5846,27.1287,30.7749,-3.8824,20.7868,29.6687,53.8535,47.8880,53.3499,57.2730,51.1273,52.2481,-8.2711,35.9925,56.4979,13.2759,13.8450,13.3754,12.9772,13.2908,14.6714,-4.3873,6.4570,12.8617,33.6110,26.7708,32.3354,36.1640,31.8186,32.5538,-10.2069,18.1013,31.9074,49.1779,57.2095,52.4395,50.0634,45.3723,52.3622,-1.0333,42.9532,53.2970,78.7856,75.0442,79.5865,83.1183,74.9427,76.5251,-4.0306,59.6335,88.0192
33,30.4301,33.7688,31.6463,30.4260,29.2836,31.1387,-3.8037,21.2051,30.1431,57.0447,50.7368,56.6567,60.3736,54.8343,52.6556,-8.2802,36.5857,57.5115,14.5126,14.9382,14.5955,14.1182,14.6040,14.9401,-4.3721,6.8230,13.4528,36.2026,28.8895,34.9709,38.4767,34.8845,32.9536,-10.2292,18.3698,32.7979,51.7631,60.0055,54.9240,52.6184,48.4107,52.7718,-0.8507,43.2990,53.3025,82.4945,78.6670,83.5097,87.0502,79.1625,76.8886,-4.0174,60.6641,89.0896
34,32.4218,35.6873,33.5731,32.3158,31.5034,31.6600,-3.7227,21.7241,30.6512,60.3293,53.6384,60.0282,63.5792,58.7028,53.3515,-8.2806,37.3160,58.6283,15.7937,16.0443,15.8567,15.2898,15.9510,15.2747,-4.3569,7.2344,14.0903,38.8732,31.1194,37.6811,40.8200,37.9520,33.5648,-10.2412,18.7001,33.7960,54.4234,62.8490,57.4497,55.2390,51.5533,53.4696,-0.6612,43.8217,53.2987,86.3068,82.2417,87.4727,91.1919,83.7772,77.6240,-3.9990,61.9334,90.2417
35,34.4568,37.6264,35.5342,34.2465,33.7400,32.3352,-3.6352,22.3574,31.1976,63.6789,56.5820,63.4351,66.8690,62.6825,54.3162,-8.2714,38.1834,59.8154,17.0992,17.1627,17.1474,16.4923,17.2898,15.6747,-4.3401,7.6932,14.7653,41.5814,33.4561,40.4345,43.1763,40.9638,34.3562,-10.2421,19.0976,34.8744,57.1491,65.7224,60.0048,57.9045,54.7601,54.4467,-0.4576,44.5546,53.3177,90.2193,85.7489,91.4538,95.5200,88.7546,78.7323,-3.9751,63.4323,91.4386
