,time,time,time,time,time,time,time,time,time,force,force,force,force,force,force,force,force,force,time,time,time,time,time,time,time,time,time,force,force,force,force,force,force,force,force,force
,Natural_y,XSy,Sy,My,Ly,Toe_y,Heel_y,Ascending_y,Descending_y,Natural_y,XSy,Sy,My,Ly,Toe_y,Heel_y,Ascending_y,Descending_y,Natural_a,XSa,Sa,Ma,La,Toe_a,Heel_a,Ascending_a,Descending_a,Natural_a,XSa,Sa,Ma,La,Toe_a,Heel_a,Ascending_a,Descending_a
23,0.2360,0.3122,0.2697,0.2277,0.1981,0.2454,0.2182,0.3598,0.2996,449.5438,503.3741,485.1539,451.1313,384.4296,509.3077,494.5070,538.0282,534.7546,0.2642,0.3335,0.2635,0.2347,0.2051,0.2629,0.2445,0.4005,0.3311,722.9656,805.1676,735.1093,666.1243,595.8035,766.0908,747.7406,798.5102,816.5315
24,0.2459,0.3253,0.2809,0.2371,0.2064,0.2556,0.2273,0.3748,0.3121,437.4513,500.7353,478.7792,439.1824,360.2206,491.0929,490.3378,527.7588,522.0344,0.2752,0.3473,0.2745,0.2445,0.2137,0.2739,0.2547,0.4172,0.3449,705.4548,794.2003,719.5116,640.1762,549.8565,736.2337,746.8625,784.1038,789.9729
25,0.2557,0.3383,0.2921,0.2466,0.2146,0.2658,0.2364,0.3898,0.3246,428.7815,499.2612,474.3366,430.4748,341.1944,474.4988,488.9659,516.5173,511.1235,0.2862,0.3612,0.2855,0.2543,0.2222,0.2848,0.2649,0.4338,0.3587,690.8585,783.9605,706.7819,618.5839,510.8253,709.2830,748.7060,769.0100,766.1691
26,0.2655,0.3513,0.3034,0.2561,0.2229,0.2761,0.2455,0.4048,0.3371,423.2478,498.8951,471.7106,424.6519,327.2958,459.5712,489.8423,504.8561,502.0085,0.2972,0.3751,0.2964,0.2641,0.2308,0.2958,0.2750,0.4505,0.3725,679.1972,775.1141,696.9030,601.5223,479.3239,685.8854,752.4128,753.8639,745.2414
27,0.2754,0.3643,0.3146,0.2656,0.2311,0.2863,0.2546,0.4198,0.3495,420.3822,499.4104,470.6409,421.2401,318.2944,446.4378,492.3342,493.3481,494.3704,0.3082,0.3890,0.3074,0.2739,0.2393,0.3067,0.2852,0.4672,0.3863,670.4646,768.1650,689.7491,588.9955,455.7952,666.4622,757.3263,739.0540,727.2459
28,0.2852,0.3773,0.3259,0.2751,0.2394,0.2965,0.2637,0.4348,0.3620,419.6873,500.6211,470.7544,419.8193,313.9368,435.3941,495.8517,482.4129,487.5834,0.3192,0.4029,0.3184,0.2836,0.2478,0.3177,0.2954,0.4839,0.4000,664.7437,763.3652,685.2808,581.0608,440.1880,651.2087,762.8374,724.9176,712.3350
29,0.2950,0.3903,0.3371,0.2846,0.2477,0.3067,0.2728,0.4497,0.3745,420.6990,502.3702,471.6966,420.1456,313.9813,426.7835,499.7954,472.0146,480.9902,0.3302,0.4168,0.3294,0.2934,0.2564,0.3286,0.3056,0.5006,0.4138,662.0839,760.6704,683.5047,577.5807,432.4546,640.0288,768.4393,711.9067,700.6932
30,0.3049,0.4033,0.3483,0.2941,0.2559,0.3169,0.2819,0.4647,0.3870,423.1235,504.5665,473.3334,422.0835,318.1972,420.8628,503.5784,462.0799,474.4240,0.3412,0.4307,0.3403,0.3032,0.2649,0.3396,0.3158,0.5173,0.4276,662.4060,759.9482,684.3279,578.3948,432.7444,632.7010,773.8926,700.4885,692.2781
31,0.3147,0.4163,0.3596,0.3035,0.2642,0.3272,0.2909,0.4797,0.3995,426.8711,507.2489,475.7100,425.5699,326.2889,417.7163,506.9200,452.9858,468.1639,0.3522,0.4446,0.3513,0.3130,0.2735,0.3505,0.3260,0.5340,0.4414,665.6158,760.9633,687.6462,583.5800,440.7151,629.0929,778.9122,691.1809,686.9409
32,0.3245,0.4293,0.3708,0.3130,0.2724,0.3374,0.3000,0.4947,0.4120,431.9113,510.2900,478.8784,430.6083,337.8702,417.3532,509.9038,445.3520,462.5563,0.3632,0.4585,0.3623,0.3228,0.2820,0.3615,0.3362,0.5507,0.4552,671.5011,763.3240,693.2818,593.1591,455.7577,629.0735,783.2215,684.6455,684.6510
